Query,Nicht Zeitlich,Explizit Zeitlich,Ereignis,Mehrdeutig,Aktualität,Notizen
311 for property tax,X,,,,,
Vauxhall helicopter crash,,X,X,,,
Parkinson's disease,X,,,,,
Lyme disease,X,,,,,
Recipe chocolate gateau,X,,,,,
Anti-virus,,,,X,,
Eating invasive species,X,,,,,
Recipe blanquette de veau,X,,,,,
Typhoon Bopha,,X,X,,,
Poverty in sub-Saharan Africa,X,,,,,
"What does ""duped"" mean",X,,,,,
How to root a yucca plant,X,,,,,
Hydrogen fuel automobiles,X,,,,X,
Wildlife extinction,X,,,,X,
Melanoma treatment and causes,X,,,,X,
Hurricane Sandy,,X,X,,,
Chavez medical treatment in Cuba,,X,X,,,
Windmill electricity,X,,,,X,
tel aviv bus bombing,,X,X,,X,
sikh temple shooting,,X,X,,,
"Drugs, Golden Triangle",X,,,X,X,
Women clergy,X,,,,X,
"Tourism, increase",X,,,X,X,
the population of kings grant fayetteville prior to liberty hills        ,,X,X,,,
costa concordia        ,,X,X,,,
what are the three countries in 1984,X,,,,,
euro opposition,X,,,,X,
adult immigrants English,X,,,,,
nor'easter        ,,X,X,X,X,
Argentina pegging dollar,,X,X,,,
unmarried-partner households        ,X,,,,,
behavioral genetics,X,,,,,
why was the massachusetts bay colony founded        ,X,,,,,
used cars,X,,,,,
New Fuel Sources,X,,,,X,
SDI Star Wars,,X,,X,,
elderberry,X,,,,,
"profiling, motorists, police",X,,,,X,
doctor assisted suicides,X,,,,X,
"Czech, Slovak sovereignty",,X,X,,,
home schooling,X,,,,,
veolia client space,X,,,,,
thane building collapsed,,X,X,,X,
"foreign minorities, Germany",X,,,,X,
iraq bombing,,X,X,,X,
women ordained Church of England,,X,X,,X,
Valdez wildlife marine life,X,,,,X,
who sang the song maybe        ,X,,,,,
Olympics training swimming,X,,,,X,
how do i replace the burners on a ducane grill,X,,,,,
los angeles arson,,X,X,,X,
Antibiotics Bacteria Disease,X,,,,X,
U.S. elections apathy,X,,,,X,
clear-cutting forests,X,,,,X,
who is gehan homes,X,,,,X,
Airport Security,X,,,,X,
anorexia nervosa bulimia,X,,,,X,
semolina gateau        ,X,,,,,
African Civilian Deaths,,,X,,,
catalan protest,,X,X,,X,
ship losses,X,,,,,
gasoline tax U.S.,X,,,,X,
drug legalization benefits,X,,,,X,
mainstreaming,X,,,,,
"law enforcement, dogs",X,,,,X,
india power blackouts,,X,X,,X,
lemon gateau,X,,,,,
France nuclear testing,,X,X,,,
Great Britain health care,X,,,,X,
Diplomatic Expulsion,,,X,,X,
wrongful convictions,,,X,,,
chocolate gateau,X,,,,,
how many incidents of corneal abrasion        ,X,,,,,
Implant Dentistry,X,,,,X,
Export Controls Cryptography,X,,,,X,
"poverty, disease",X,,,,X,
declining birth rates,X,,,,X,
Alzheimer's Drug Treatment,X,,,,X,
