Number;Topic;Relevant;URL
1;plate tectonics;1;https://en.wikipedia.org/wiki/Plate_tectonics
1;plate tectonics;1;https://www.britannica.com/science/plate-tectonics
1;plate tectonics;1;https://education.nationalgeographic.org/resource/plate-tectonics/
1;plate tectonics;1;https://www.geomar.de/en/plattentektonik
1;plate tectonics;0;https://www.amazon.de/Plate-Tectonics-Essential-Fernando-Morrison/dp/1639874356
1;plate tectonics;1;https://www.livescience.com/37706-what-is-plate-tectonics.html
1;plate tectonics;1;https://www.nps.gov/subjects/geology/plate-tectonics-the-unifying-theory-of-geology.htm
1;plate tectonics;0;https://oceanexplorer.noaa.gov/facts/plate-boundaries.html
1;plate tectonics;0;https://www.geolsoc.org.uk/Plate-Tectonics
2;game awards winners 2024;0;https://www.spiel-des-jahres.de/en/award-winners-2024/
2;game awards winners 2024;0;https://www.metacritic.com/news/2024-game-of-the-year-awards-tracker/
2;game awards winners 2024;0;https://store.epicgames.com/en-US/news/bafta-games-awards-winners-2024
2;game awards winners 2024;1;https://www.inverse.com/gaming/game-awards-2024-winners-losers-nominees
2;game awards winners 2024;0;https://www.mobilegamesawards.com/
2;game awards winners 2024;0;https://www.gamescom.global/en/program/gamescom-award
2;game awards winners 2024;0;https://www.gamesradar.com/games/here-are-all-the-golden-joystick-awards-2024-winners/
2;game awards winners 2024;0;https://www.forbes.com/sites/mattgardner1/2024/11/21/black-myth-wukong-named-2024-game-of-the-year-at-golden-joysticks/
2;game awards winners 2024;1;https://screenrant.com/game-awards-2024-goty-predictions-winner-all-categories/
3;super bowl security measures;1;https://offdutyofficers.com/case-study-super-bowl-security-considerations/#:~:text=There%20are%20strict%20limits%20to,drones%2C%20explosives%20and%20laser%20pointers.
3;super bowl security measures;1;https://www.nfl.com/super-bowl/event-info/security-procedures
3;super bowl security measures;1;https://www.red5security.com/resources/super-bowl-2024-safety-and-security-overview
3;super bowl security measures;0;https://eu.usatoday.com/story/sports/nfl/2024/02/09/vegas-super-bowl-security/72541136007/
3;super bowl security measures;1;https://www.dhs.gov/news/2024/02/07/dhs-works-nfl-nevada-and-las-vegas-partners-secure-super-bowl-lviii
3;super bowl security measures;0;https://www.sportico.com/law/analysis/2024/super-bowl-security-1234765332/
3;super bowl security measures;1;https://san.com/cc/super-bowl-security-what-is-dhs-doing-to-protect-1-million-people-in-las-vegas/
3;super bowl security measures;0;https://www.securityinfowatch.com/home/article/21295384/super-bowl-lvii-security-more-than-just-guards-guns-and-gates
4;fly ;0;Übersetzung
4;fly ;0;Übersetzung
4;fly ;0;Übersetzung
4;fly ;0;Übersetzung
4;fly ;0;Übersetzung
4;fly ;0;Übersetzung
4;fly ;0;Übersetzung
4;fly ;0;Übersetzung
4;fly ;0;Übersetzung
4;fly ;0;Übersetzung
4;fly ;0;Übersetzung
5;election results usa;1;https://edition.cnn.com/election/2024/results/president?election-data-id=2024-PG&election-painting-mode=projection-with-lead&filter-key-races=false&filter-flipped=false&filter-remaining=false
5;election results usa;1;https://www.bbc.com/news/election/2024/us/results
5;election results usa;1;https://en.wikipedia.org/wiki/2024_United_States_presidential_election
5;election results usa;1;https://www.nytimes.com/interactive/2024/11/05/us/elections/results-president.html
5;election results usa;1;https://www.reuters.com/graphics/USA-ELECTION/RESULTS/zjpqnemxwvx/
5;election results usa;1;https://www.nbcnews.com/politics/2024-elections/president-results
5;election results usa;1;https://edition.cnn.com/election/2024
5;election results usa;1;https://www.aljazeera.com/us-election-2024/results/
5;election results usa;1;https://www.economist.com/interactive/us-2024-election/results/president
